"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","BP","GO:0006457","protein folding","4/238","223/18870",0.310331239885847,0.494848309261024,0.420418639082683,"FKBP5/DNAJB4/HSPA2/ERP27",4
"GO:0044242","BP","GO:0044242","cellular lipid catabolic process","4/238","223/18870",0.310331239885847,0.494848309261024,0.420418639082683,"IRS2/LEP/PLB1/PLCG2",4
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","3/238","155/18870",0.310985600388059,0.49564304816111,0.42109384205003,"DAAM2/NOG/MCF2",3
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","6/238","364/18870",0.311514361271933,0.496236912341956,0.4215983836763,"TIMP4/FOXO1/NKD1/RNF144B/NKD2/ASB5",6
"GO:0010507","BP","GO:0010507","negative regulation of autophagy","2/238","90/18870",0.314229681115707,0.499560743664691,0.424422280646528,"LEP/PTPN22",2
"GO:0046889","BP","GO:0046889","positive regulation of lipid biosynthetic process","2/238","90/18870",0.314229681115707,0.499560743664691,0.424422280646528,"CCN1/SORBS1",2
"GO:0071867","BP","GO:0071867","response to monoamine","2/238","90/18870",0.314229681115707,0.499560743664691,0.424422280646528,"NR4A3/HTR1B",2
"GO:0071869","BP","GO:0071869","response to catecholamine","2/238","90/18870",0.314229681115707,0.499560743664691,0.424422280646528,"NR4A3/HTR1B",2
"GO:0097530","BP","GO:0097530","granulocyte migration","3/238","156/18870",0.314433721465542,0.499635183408746,0.424485523978481,"THBS1/RAC3/DAPK2",3
"GO:0002507","BP","GO:0002507","tolerance induction","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"TGFBR2",1
"GO:0003298","BP","GO:0003298","physiological muscle hypertrophy","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"PDLIM5",1
"GO:0003301","BP","GO:0003301","physiological cardiac muscle hypertrophy","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"PDLIM5",1
"GO:0009185","BP","GO:0009185","ribonucleoside diphosphate metabolic process","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"TJP2",1
"GO:0009649","BP","GO:0009649","entrainment of circadian clock","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"PER1",1
"GO:0031114","BP","GO:0031114","regulation of microtubule depolymerization","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"NAV3",1
"GO:0035640","BP","GO:0035640","exploration behavior","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"NOG",1
"GO:0043032","BP","GO:0043032","positive regulation of macrophage activation","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"THBS1",1
"GO:0061049","BP","GO:0061049","cell growth involved in cardiac muscle cell development","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"PDLIM5",1
"GO:0071295","BP","GO:0071295","cellular response to vitamin","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"LEP",1
"GO:1900101","BP","GO:1900101","regulation of endoplasmic reticulum unfolded protein response","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"PIK3R1",1
"GO:1901021","BP","GO:1901021","positive regulation of calcium ion transmembrane transporter activity","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"CACNB2",1
"GO:1901798","BP","GO:1901798","positive regulation of signal transduction by p53 class mediator","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"ANKRD1",1
"GO:1904376","BP","GO:1904376","negative regulation of protein localization to cell periphery","1/238","30/18870",0.316876474802329,0.500016602245185,0.424809573965387,"PKDCC",1
"GO:0007043","BP","GO:0007043","cell-cell junction assembly","3/238","157/18870",0.317882761417909,0.50085841139619,0.425524767391351,"FZD5/CDH4/PKP2",3
"GO:0030832","BP","GO:0030832","regulation of actin filament length","3/238","157/18870",0.317882761417909,0.50085841139619,0.425524767391351,"MYADM/DAAM2/CDC42EP3",3
"GO:0030902","BP","GO:0030902","hindbrain development","3/238","157/18870",0.317882761417909,0.50085841139619,0.425524767391351,"TRNP1/MYO16/NOG",3
"GO:0048511","BP","GO:0048511","rhythmic process","5/238","296/18870",0.318457384176638,0.501168940518521,0.425788590119574,"PER1/KLF9/ADAMTS1/PTX3/LEP",5
"GO:0042180","BP","GO:0042180","cellular ketone metabolic process","4/238","226/18870",0.318866968658152,0.501168940518521,0.425788590119574,"IRS2/NR4A3/PRKAG2/PDK4",4
"GO:0006497","BP","GO:0006497","protein lipidation","2/238","91/18870",0.318868344156215,0.501168940518521,0.425788590119574,"GLUL/ZDHHC23",2
"GO:0033555","BP","GO:0033555","multicellular organismal response to stress","2/238","91/18870",0.318868344156215,0.501168940518521,0.425788590119574,"THBS1/GCH1",2
"GO:0106027","BP","GO:0106027","neuron projection organization","2/238","91/18870",0.318868344156215,0.501168940518521,0.425788590119574,"PDLIM5/NEDD9",2
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","3/238","158/18870",0.321332432789254,0.504293566125555,0.428443243719005,"CITED2/RGCC/STC1",3
"GO:0048284","BP","GO:0048284","organelle fusion","3/238","158/18870",0.321332432789254,0.504293566125555,0.428443243719005,"CIDEC/STX11/NKD2",3
"GO:2001236","BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","3/238","158/18870",0.321332432789254,0.504293566125555,0.428443243719005,"THBS1/ATF3/GDNF",3
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin","6/238","369/18870",0.322576962540496,0.504613950432898,0.428715439323104,"FZD5/GCH1/DIO2/PLCG2/ANKRD1/PTPN22",6
"GO:0006650","BP","GO:0006650","glycerophospholipid metabolic process","5/238","298/18870",0.323410302776936,0.504613950432898,0.428715439323104,"IMPA2/PIK3R1/INPP5A/PLB1/PLCG2",5
"GO:0022406","BP","GO:0022406","membrane docking","2/238","92/18870",0.323499605031052,0.504613950432898,0.428715439323104,"ATP2A2/STX11",2
"GO:0031640","BP","GO:0031640","killing of cells of another organism","2/238","92/18870",0.323499605031052,0.504613950432898,0.428715439323104,"C7/C6",2
"GO:0141061","BP","GO:0141061","disruption of cell in another organism","2/238","92/18870",0.323499605031052,0.504613950432898,0.428715439323104,"C7/C6",2
"GO:1901875","BP","GO:1901875","positive regulation of post-translational protein modification","3/238","159/18870",0.324782451600943,0.504613950432898,0.428715439323104,"FAM107A/SEPTIN4/PTPN22",3
"GO:0001945","BP","GO:0001945","lymph vessel development","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"PDPN",1
"GO:0002825","BP","GO:0002825","regulation of T-helper 1 type immune response","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"NLRP10",1
"GO:0003338","BP","GO:0003338","metanephros morphogenesis","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"GDNF",1
"GO:0007271","BP","GO:0007271","synaptic transmission, cholinergic","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"LAMA2",1
"GO:0010880","BP","GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"CHD7",1
"GO:0031646","BP","GO:0031646","positive regulation of nervous system process","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"TPPP",1
"GO:0033688","BP","GO:0033688","regulation of osteoblast proliferation","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"CCN1",1
"GO:0034311","BP","GO:0034311","diol metabolic process","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"GCH1",1
"GO:0035767","BP","GO:0035767","endothelial cell chemotaxis","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"THBS1",1
"GO:0040018","BP","GO:0040018","positive regulation of multicellular organism growth","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"CHD7",1
"GO:0042744","BP","GO:0042744","hydrogen peroxide catabolic process","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"GPX3",1
"GO:0045070","BP","GO:0045070","positive regulation of viral genome replication","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"ADARB1",1
"GO:0045762","BP","GO:0045762","positive regulation of adenylate cyclase activity","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"LGR5",1
"GO:0051491","BP","GO:0051491","positive regulation of filopodium assembly","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"PIK3R1",1
"GO:0072525","BP","GO:0072525","pyridine-containing compound biosynthetic process","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"NNMT",1
"GO:0086011","BP","GO:0086011","membrane repolarization during action potential","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"KCND3",1
"GO:0090322","BP","GO:0090322","regulation of superoxide metabolic process","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"GCH1",1
"GO:0150117","BP","GO:0150117","positive regulation of cell-substrate junction organization","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"PIK3R1",1
"GO:2000273","BP","GO:2000273","positive regulation of signaling receptor activity","1/238","31/18870",0.325506166893468,0.504613950432898,0.428715439323104,"NCOA3",1
"GO:0009101","BP","GO:0009101","glycoprotein biosynthetic process","5/238","299/18870",0.325890122486103,0.504962851906794,0.429011862853475,"CHST7/GALNT15/B3GALT2/GCNT4/CHSY3",5
"GO:0032436","BP","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","2/238","93/18870",0.328122914047679,0.506939533710999,0.430691233801037,"RNF144B/NKD2",2
"GO:0039531","BP","GO:0039531","regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway","2/238","93/18870",0.328122914047679,0.506939533710999,0.430691233801037,"PLCG2/PTPN22",2
"GO:0042475","BP","GO:0042475","odontogenesis of dentin-containing tooth","2/238","93/18870",0.328122914047679,0.506939533710999,0.430691233801037,"EDA/APCDD1",2
"GO:0045185","BP","GO:0045185","maintenance of protein location","2/238","93/18870",0.328122914047679,0.506939533710999,0.430691233801037,"SUN2/FBN2",2
"GO:1900182","BP","GO:1900182","positive regulation of protein localization to nucleus","2/238","93/18870",0.328122914047679,0.506939533710999,0.430691233801037,"PIK3R1/LEP",2
"GO:2000106","BP","GO:2000106","regulation of leukocyte apoptotic process","2/238","93/18870",0.328122914047679,0.506939533710999,0.430691233801037,"IRS2/TSC22D3",2
"GO:0006606","BP","GO:0006606","protein import into nucleus","3/238","161/18870",0.331682413035006,0.509620136096891,0.432968649295659,"PIK3R1/LEP/KCNQ3",3
"GO:0070507","BP","GO:0070507","regulation of microtubule cytoskeleton organization","3/238","161/18870",0.331682413035006,0.509620136096891,0.432968649295659,"NAV3/FAM107A/TPPP",3
"GO:0019915","BP","GO:0019915","lipid storage","2/238","94/18870",0.332737736436996,0.509620136096891,0.432968649295659,"CIDEC/LEP",2
"GO:0032411","BP","GO:0032411","positive regulation of transporter activity","2/238","94/18870",0.332737736436996,0.509620136096891,0.432968649295659,"CACNB2/TRPC6",2
"GO:0046785","BP","GO:0046785","microtubule polymerization","2/238","94/18870",0.332737736436996,0.509620136096891,0.432968649295659,"NAV3/TPPP",2
"GO:0002230","BP","GO:0002230","positive regulation of defense response to virus by host","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"PTPN22",1
"GO:0002313","BP","GO:0002313","mature B cell differentiation involved in immune response","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"PLCG2",1
"GO:0002431","BP","GO:0002431","Fc receptor mediated stimulatory signaling pathway","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"NR4A3",1
"GO:0007435","BP","GO:0007435","salivary gland morphogenesis","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"EDA",1
"GO:0007628","BP","GO:0007628","adult walking behavior","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"CHD7",1
"GO:0009218","BP","GO:0009218","pyrimidine ribonucleotide metabolic process","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"CTPS1",1
"GO:0010458","BP","GO:0010458","exit from mitosis","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"RGCC",1
"GO:0010644","BP","GO:0010644","cell communication by electrical coupling","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"PKP2",1
"GO:0010765","BP","GO:0010765","positive regulation of sodium ion transport","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"PKP2",1
"GO:0030808","BP","GO:0030808","regulation of nucleotide biosynthetic process","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"PDK4",1
"GO:0031116","BP","GO:0031116","positive regulation of microtubule polymerization","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"NAV3",1
"GO:0035590","BP","GO:0035590","purinergic nucleotide receptor signaling pathway","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"P2RY14",1
"GO:0042558","BP","GO:0042558","pteridine-containing compound metabolic process","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"GCH1",1
"GO:0048710","BP","GO:0048710","regulation of astrocyte differentiation","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"NOG",1
"GO:0051642","BP","GO:0051642","centrosome localization","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"SUN2",1
"GO:0061842","BP","GO:0061842","microtubule organizing center localization","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"SUN2",1
"GO:0072677","BP","GO:0072677","eosinophil migration","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"DAPK2",1
"GO:1900371","BP","GO:1900371","regulation of purine nucleotide biosynthetic process","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"PDK4",1
"GO:1901185","BP","GO:1901185","negative regulation of ERBB signaling pathway","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"ERRFI1",1
"GO:1902751","BP","GO:1902751","positive regulation of cell cycle G2/M phase transition","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"HSPA2",1
"GO:2000316","BP","GO:2000316","regulation of T-helper 17 type immune response","1/238","32/18870",0.334027294993651,0.509620136096891,0.432968649295659,"NLRP10",1
"GO:0006665","BP","GO:0006665","sphingolipid metabolic process","3/238","162/18870",0.335131805109092,0.511059921610698,0.434191878020417,"TEX2/CCN1/B3GALT2",3
"GO:0006644","BP","GO:0006644","phospholipid metabolic process","6/238","375/18870",0.335926141757186,0.511877791920834,0.43488673322412,"IMPA2/ALOX15B/PIK3R1/INPP5A/PLB1/PLCG2",6
"GO:0050920","BP","GO:0050920","regulation of chemotaxis","4/238","232/18870",0.335990268705746,0.511877791920834,0.43488673322412,"DUSP1/THBS1/NEDD9/DAPK2",4
"GO:1902807","BP","GO:1902807","negative regulation of cell cycle G1/S phase transition","2/238","95/18870",0.337343552067111,0.513693247948863,0.43642912821332,"FAM107A/MYO16",2
"GO:0051494","BP","GO:0051494","negative regulation of cytoskeleton organization","3/238","163/18870",0.338580443527518,0.515329812993512,0.437819539044204,"MYADM/NAV3/PIK3R1",3
"GO:0002042","BP","GO:0002042","cell migration involved in sprouting angiogenesis","2/238","96/18870",0.341939855161899,0.517488442486363,0.439653491099176,"THBS1/DLL4",2
"GO:0014909","BP","GO:0014909","smooth muscle cell migration","2/238","96/18870",0.341939855161899,0.517488442486363,0.439653491099176,"ADAMTS1/NR4A3",2
"GO:0001556","BP","GO:0001556","oocyte maturation","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"DMC1",1
"GO:0006221","BP","GO:0006221","pyrimidine nucleotide biosynthetic process","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"CTPS1",1
"GO:0006622","BP","GO:0006622","protein targeting to lysosome","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"SORT1",1
"GO:0010743","BP","GO:0010743","regulation of macrophage derived foam cell differentiation","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"ALOX15B",1
"GO:0019228","BP","GO:0019228","neuronal action potential","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"KCNQ3",1
"GO:0033238","BP","GO:0033238","regulation of amine metabolic process","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"GPR37",1
"GO:0045777","BP","GO:0045777","positive regulation of blood pressure","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"ADRA1B",1
"GO:0048566","BP","GO:0048566","embryonic digestive tract development","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"PKDCC",1
"GO:0050858","BP","GO:0050858","negative regulation of antigen receptor-mediated signaling pathway","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"PTPN22",1
"GO:0051497","BP","GO:0051497","negative regulation of stress fiber assembly","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"PIK3R1",1
"GO:0051647","BP","GO:0051647","nucleus localization","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"SUN2",1
"GO:0071875","BP","GO:0071875","adrenergic receptor signaling pathway","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"ADRA1B",1
"GO:0090279","BP","GO:0090279","regulation of calcium ion import","1/238","33/18870",0.342441219178358,0.517488442486363,0.439653491099176,"STC1",1
"GO:0045861","BP","GO:0045861","negative regulation of proteolysis","4/238","235/18870",0.344568849922913,0.520456181109799,0.442174854939099,"TIMP4/THBS1/SERPINA3/SERPINF2",4
"GO:0009953","BP","GO:0009953","dorsal/ventral pattern formation","2/238","97/18870",0.346526154024286,0.522915535369981,0.444264300031136,"DLL4/NOG",2
"GO:0042158","BP","GO:0042158","lipoprotein biosynthetic process","2/238","97/18870",0.346526154024286,0.522915535369981,0.444264300031136,"GLUL/ZDHHC23",2
"GO:0006869","BP","GO:0006869","lipid transport","7/238","453/18870",0.346900298303953,0.523231679169417,0.444532892938146,"IRS2/ACSL1/TEX2/THBS1/CIDEC/LEP/FABP4",7
"GO:0015850","BP","GO:0015850","organic hydroxy compound transport","5/238","308/18870",0.348289183553607,0.524096788674759,0.445267882133999,"GDNF/LEP/SLC19A3/GPM6B/HTR1B",5
"GO:0051170","BP","GO:0051170","import into nucleus","3/238","166/18870",0.348919188562792,0.524096788674759,0.445267882133999,"PIK3R1/LEP/KCNQ3",3
"GO:0006026","BP","GO:0006026","aminoglycan catabolic process","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"HMMR",1
"GO:0006301","BP","GO:0006301","postreplication repair","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"USP43",1
"GO:0006688","BP","GO:0006688","glycosphingolipid biosynthetic process","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"B3GALT2",1
"GO:0007431","BP","GO:0007431","salivary gland development","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"EDA",1
"GO:0010661","BP","GO:0010661","positive regulation of muscle cell apoptotic process","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"ATP2A2",1
"GO:0010669","BP","GO:0010669","epithelial structure maintenance","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"SERPINA3",1
"GO:0032743","BP","GO:0032743","positive regulation of interleukin-2 production","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"PLCG2",1
"GO:0034110","BP","GO:0034110","regulation of homotypic cell-cell adhesion","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"PDPN",1
"GO:0046475","BP","GO:0046475","glycerophospholipid catabolic process","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"PLB1",1
"GO:0050901","BP","GO:0050901","leukocyte tethering or rolling","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"LEP",1
"GO:0071398","BP","GO:0071398","cellular response to fatty acid","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"PDK4",1
"GO:0090022","BP","GO:0090022","regulation of neutrophil chemotaxis","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"DAPK2",1
"GO:0090313","BP","GO:0090313","regulation of protein targeting to membrane","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"STOM",1
"GO:1902624","BP","GO:1902624","positive regulation of neutrophil migration","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"DAPK2",1
"GO:1903955","BP","GO:1903955","positive regulation of protein targeting to mitochondrion","1/238","34/18870",0.350749282555517,0.524096788674759,0.445267882133999,"FZD5",1
"GO:0000422","BP","GO:0000422","autophagy of mitochondrion","2/238","98/18870",0.351101970764179,0.524096788674759,0.445267882133999,"FZD5/MAP1LC3C",2
"GO:0001657","BP","GO:0001657","ureteric bud development","2/238","98/18870",0.351101970764179,0.524096788674759,0.445267882133999,"GDNF/NOG",2
"GO:0002275","BP","GO:0002275","myeloid cell activation involved in immune response","2/238","98/18870",0.351101970764179,0.524096788674759,0.445267882133999,"NR4A3/PLCG2",2
"GO:0048534","BP","GO:0048534","hematopoietic or lymphoid organ development","2/238","98/18870",0.351101970764179,0.524096788674759,0.445267882133999,"CITED2/PDPN",2
"GO:0061726","BP","GO:0061726","mitochondrion disassembly","2/238","98/18870",0.351101970764179,0.524096788674759,0.445267882133999,"FZD5/MAP1LC3C",2
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","6/238","382/18870",0.351580173035336,0.524564220613285,0.445665008072961,"ZBTB16/TGFBR2/NR4A3/LEP/PTPN22/IGFBP2",6
"GO:0048639","BP","GO:0048639","positive regulation of developmental growth","3/238","167/18870",0.3523621814542,0.525237810816814,0.446237284205601,"LEP/CDH4/CHD7",3
"GO:1902904","BP","GO:1902904","negative regulation of supramolecular fiber organization","3/238","167/18870",0.3523621814542,0.525237810816814,0.446237284205601,"MYADM/NAV3/PIK3R1",3
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","7/238","456/18870",0.353048319651283,0.526013858345888,0.446896607153523,"DUSP1/ADAMTS1/RGCC/FAM107A/HSPA2/MYO16/PLCG2",7
"GO:0030101","BP","GO:0030101","natural killer cell activation","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"LEP/PTPN22",2
"GO:0046620","BP","GO:0046620","regulation of organ growth","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"CITED2/NOG",2
"GO:0072163","BP","GO:0072163","mesonephric epithelium development","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"GDNF/NOG",2
"GO:0072164","BP","GO:0072164","mesonephric tubule development","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"GDNF/NOG",2
"GO:0141060","BP","GO:0141060","disruption of anatomical structure in another organism","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"C7/C6",2
"GO:1903312","BP","GO:1903312","negative regulation of mRNA metabolic process","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"TENT5B/GDNF",2
"GO:1990868","BP","GO:1990868","response to chemokine","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"DUSP1/ACKR2",2
"GO:1990869","BP","GO:1990869","cellular response to chemokine","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"DUSP1/ACKR2",2
"GO:2001237","BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","2/238","99/18870",0.355666841030976,0.527149738850125,0.447861640936229,"THBS1/GDNF",2
"GO:0050792","BP","GO:0050792","regulation of viral process","3/238","168/18870",0.355803122604136,0.527149738850125,0.447861640936229,"STOM/PTX3/ADARB1",3
"GO:0071219","BP","GO:0071219","cellular response to molecule of bacterial origin","4/238","239/18870",0.35601470784289,0.527149738850125,0.447861640936229,"FZD5/PLCG2/ANKRD1/PTPN22",4
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","5/238","312/18870",0.358277615990068,0.527149738850125,0.447861640936229,"TIMP4/THBS1/COL4A3/SERPINA3/SERPINF2",5
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","4/238","240/18870",0.358876507238584,0.527149738850125,0.447861640936229,"DUSP1/THBS1/NEDD9/DAPK2",4
"GO:0002021","BP","GO:0002021","response to dietary excess","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"LEP",1
"GO:0008340","BP","GO:0008340","determination of adult lifespan","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"LEP",1
"GO:0009112","BP","GO:0009112","nucleobase metabolic process","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"CTPS1",1
"GO:0010613","BP","GO:0010613","positive regulation of cardiac muscle hypertrophy","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"NR4A3",1
"GO:0010614","BP","GO:0010614","negative regulation of cardiac muscle hypertrophy","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"FOXO1",1
"GO:0021772","BP","GO:0021772","olfactory bulb development","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"CHD7",1
"GO:0032228","BP","GO:0032228","regulation of synaptic transmission, GABAergic","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"HTR1B",1
"GO:0033146","BP","GO:0033146","regulation of intracellular estrogen receptor signaling pathway","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"LBH",1
"GO:0034389","BP","GO:0034389","lipid droplet organization","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"CIDEC",1
"GO:0045943","BP","GO:0045943","positive regulation of transcription by RNA polymerase I","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"RASL11A",1
"GO:0046471","BP","GO:0046471","phosphatidylglycerol metabolic process","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"PLB1",1
"GO:0048873","BP","GO:0048873","homeostasis of number of cells within a tissue","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"RAC3",1
"GO:0050974","BP","GO:0050974","detection of mechanical stimulus involved in sensory perception","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"COL11A1",1
"GO:0090659","BP","GO:0090659","walking behavior","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"CHD7",1
"GO:0110110","BP","GO:0110110","positive regulation of animal organ morphogenesis","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"GDNF",1
"GO:1901099","BP","GO:1901099","negative regulation of signal transduction in absence of ligand","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"GDNF",1
"GO:1901385","BP","GO:1901385","regulation of voltage-gated calcium channel activity","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"CACNB2",1
"GO:2001240","BP","GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","1/238","35/18870",0.358952811476296,0.527149738850125,0.447861640936229,"GDNF",1
"GO:0034250","BP","GO:0034250","positive regulation of amide metabolic process","3/238","169/18870",0.359241762797332,0.527330402849849,0.448015131433163,"TENT5B/THBS1/CCN1",3
"GO:0018107","BP","GO:0018107","peptidyl-threonine phosphorylation","2/238","100/18870",0.360220313750571,0.528035127813337,0.448613859375711,"TGFBR2/PRKAG2",2
"GO:0050764","BP","GO:0050764","regulation of phagocytosis","2/238","100/18870",0.360220313750571,0.528035127813337,0.448613859375711,"PTX3/PLCG2",2
"GO:0071901","BP","GO:0071901","negative regulation of protein serine/threonine kinase activity","2/238","100/18870",0.360220313750571,0.528035127813337,0.448613859375711,"DUSP1/PTPN22",2
"GO:0002068","BP","GO:0002068","glandular epithelial cell development","1/238","36/18870",0.36705311574328,0.534844017346237,0.454398630218641,"FZD5",1
"GO:0010092","BP","GO:0010092","specification of animal organ identity","1/238","36/18870",0.36705311574328,0.534844017346237,0.454398630218641,"GDNF",1
